,BTL ,QUESTION
1114,6,Design a user-friendly interface for a mobile application that enhances accessibility for individuals with disabilities.
1162,6,Formulate a strategy for conducting security audits in software applications to identify and remediate vulnerabilities.
674,4,"Analyze the effectiveness of various endpoint security solutions (e.g., EDR vs. antivirus) in protecting against malware."
1068,6,Design a satellite constellation system for providing global broadband coverage and low-latency communication services to remote areas and maritime vessels.
80,1,How to find largest sub-array formed by consecutive integers?
246,1,What are the impacts of stack-based allocation on the effectiveness of garbage collection algorithms?
34,1,"What is a ""balanced search tree"" and how does it differ from a binary search tree?"
1079,6,"Sentiment Analysis of Customer Reviews: You are developing a natural language processing (NLP) model for sentiment analysis of customer reviews in e-commerce platforms. Create a sentiment analysis pipeline that preprocesses text data, extracts features, and trains a machine learning classifier to classify reviews into positive, negative, or neutral sentiments, incorporating techniques such as word embeddings, attention mechanisms, and model ensemble for accurate sentiment prediction."
889,5,"What is the concept of memoization in recursion, and how can it improve the efficiency of certain recursive algorithms?"
582,4,Propose strategies for optimizing the performance of web servers handling millions of concurrent requests and evaluate their impact on user experience.
487,3,What is binary tree data structure?
516,3,Evaluate the feasibility of using artificial intelligence algorithms for automating routine tasks in IT service management and analyze potential benefits and drawbacks.
1150,6,Propose a method for implementing a continuous integration/continuous delivery (CI/CD) pipeline for efficient software deployment.
419,3,What are some common use cases for hashing in Python?
91,1,What are the differences between dynamic typing and static typing in Python?
392,3,Are there any real-world applications where binary search trees are commonly used?
1034,6,Design a cybersecurity framework for securing interconnected smart cities against cyber threats and unauthorized access.
677,4,Evaluate the trade-offs between using sharding versus partitioning for scaling large databases.
398,3,How does the use of Binary Search Trees differ in scenarios where you're dealing with a dynamic set of data versus a static set?
890,5,"How can you use recursion to efficiently solve the subset sum problem, determining if a subset of a given set of integers adds up to a specific target sum?"
282,2,Print all Hamiltonian paths present in a graph?
13,1,How do you binary search a tree?
363,2,"Algorithm and Data Structure is like console and a Game, isn't it?"
713,4,Compare the advantages and limitations of TCP versus UDP for network communications.
440,3,"How does Python handle indentation, and why is it important?"
314,2,"Discuss the principles of adversarial machine learning, explaining techniques for generating adversarial examples and defending against them."
207,1,"What are the differences  between single quotes (') and double quotes ("") when defining strings?"
977,6,How to get the sum of even numbers from 1 to nth number using recursion?
20,1,How does the insertion of a new element take place in a binary search tree while maintaining the binary search property?
759,4,Analyze the role of risk management versus change management in IT project success.
952,5,What are the steps to merge two sorted doubly linked lists without using any extra space?
551,3,"Explain the concept of dimensional modeling in data warehousing. What are the characteristics of a star schema and a snowflake schema, and when would you choose one over the other?"
1160,6,Design a user-friendly dashboard for visualizing key performance indicators (KPIs) in business intelligence applications.
573,4,Solve a hypothetical scenario involving a data breach in a financial institution and propose a comprehensive incident response plan.
965,5,How do you swap two elements in a doubly linked list without modifying their positions in the list?
284,2,Can graph be called as map?
679,4,Analyze the effectiveness of data normalization versus denormalization in database design.
1012,6,Imagine a new programming language tailored specifically for artificial intelligence applications. Describe its key features and syntax.
675,4,Compare the advantages of SQL databases versus NoSQL databases for handling unstructured data.
1131,6,Devise a system for real-time sentiment analysis of social media posts using natural language processing and machine learning algorithms.
799,5,What are the ethical considerations and potential biases associated with using automated decision-making algorithms that rely on large-scale data analysis?
1094,6,"You have been assigned to design a blockchain-based voting system for ensuring transparent and tamper-proof elections. Create a conceptual design for the voting system, including the structure of the blockchain network, consensus mechanism, smart contracts for voter registration and ballot casting, and mechanisms for verifying and tallying votes securely."
230,1,How the pop operation works on a stack?
896,5,What are the advantages and disadvantages of using a singly linked list over an array?
1116,6,Devise a framework for implementing ethical guidelines in AI development to ensure fairness and accountability in algorithms.
812,5,Judge the scalability of a cloud computing infrastructure for handling variable workloads and peak demand scenarios.
541,3,Critically evaluate the role of artificial intelligence in autonomous vehicles and its potential impact on road safety and ethics.
794,5,How can the integrity of enormous datasets from many sources and formats be ensured?
584,4,Evaluate the effectiveness of using machine learning algorithms for detecting and preventing cyberattacks in real-time.
58,1,"What if we could climb up like actual tree from leaf nodes to root, not root to Leaf nodes?"
540,3,Solve a hypothetical scenario involving distributed denial of service (DDoS) attacks on a network infrastructure and propose effective countermeasures.
673,4,Compare the role of firewalls versus intrusion detection systems (IDS) in securing network perimeters.
993,6,Formulate a new strategy for implementing zero-trust security architecture in large-scale corporate networks to mitigate insider threats and unauthorized access.
861,5,Debate the ethical implications of using artificial intelligence algorithms for autonomous weapons systems in military operations.
293,2,Is Bug related with Hashing?
21,1,How does tree rotations help in maintaining balance?
354,2,"Explain the concept of pointers in C/C++ programming, discussing their role in memory manipulation and potential risks such as memory leaks."
525,3,Compare and contrast different clustering algorithms and analyze their effectiveness in grouping similar data points.
201,1,How do you do data abstraction in Python?
317,2,"Explain the concept of data preprocessing in machine learning, discussing techniques such as normalization, feature scaling, and missing value imputation."
1092,6,"As a cybersecurity expert, you are responsible for designing a secure authentication mechanism for a multi-factor authentication (MFA) system to prevent unauthorized access to sensitive systems and data. Create a detailed architecture diagram illustrating the components of the MFA system, such as biometric authentication, token-based authentication, and risk-based authentication."
232,1,"What are the time complexities of the basic stack operations: push, pop, and peek?"
438,3,What does the * operator do when used with a list?
939,5,How can you address synchronization issues when using doubly linked lists in a multi-threaded environment?
466,3,How to solve the problem of Tower of hanoi using recursion?
558,3,Explain what is a class in c?
396,3,How do binary search trees handle cases where an element is not present in the tree during a search operation?
883,5,"What is recursion, and how does it differ from iteration in programming?"
349,2,"Discuss the principles of distributed computing, explaining concepts such as CAP theorem and eventual consistency."
774,5,"What is the worst-case time complexity of searching, inserting, and deleting in a binary search tree?"
130,1,What is the Double Hashing?
776,5,"Given the root of a binary tree, determine if it is a valid binary search tree (BST)?"
1008,6,Devise a new technique for unsupervised domain adaptation in machine learning models to improve model generalization across different target domains.
99,1,What is a module in Python?
425,3,How does the HyperLogLog algorithm use hashing to estimate the number of distinct elements in a data stream?
87,1,What are classes and objects in Python?
383,3,Analyze the potential risks and benefits of using autonomous drones for surveillance and reconnaissance missions.
532,3,Propose and justify strategies for optimizing the performance of recommendation systems in e-commerce platforms.
121,1,What are the benefits of reducing collisions in Hash?
997,6,Design a new framework for ensuring data sovereignty and compliance with regulatory requirements in cross-border data transfer scenarios.
